,New Path,Orig Path,Vertices,CenterOfMass,Means,Scaling,AverageSize,DiagonalSize,Bounds,Position,Cells,Class,Type,Eigenvalue,Eigenvectors,Prev Eigenvalue,Prev Eigenvectors
382,../normshapes\Car\m1527.obj,../shapes\Car\m1527.obj,7315,[1.57192066e-09 2.54059531e-09 1.38882067e-09],[1.8645295e-08 1.2992428e-08 5.7730540e-09],[1. 1. 1.],0.33527026,1.3589169377094727,[-0.30870733  0.42352858 -0.37729654  0.48889577 -0.32698902  0.42147383],[0. 0. 0.],14450,Car,Triangle,[0.09449006 0.00312103 0.02398951],"[[-0.55217176 -0.69942705  0.45377103]
 [-0.62472155 -0.01332636 -0.78073388]
 [-0.55211351  0.71457974  0.42958871]]",[0.09449006 0.02398951 0.00312103],"[[ 0.76105687 -0.64502507 -0.06881214]
 [-0.02722729 -0.13774955  0.99009279]
 [ 0.64811351  0.75164335  0.12239752]]"
383,../normshapes\Car\m1528.obj,../shapes\Car\m1528.obj,18656,[ 6.69636145e-10  9.19653720e-10 -3.27144698e-10],[-8.5299881e-08  6.8799859e-09 -1.3394551e-08],[1. 1. 1.],0.30787298,1.0464491188224538,[-0.47986773  0.4704376  -0.1748736   0.17470977 -0.11461411  0.14952026],[0. 0. 0.],37254,Car,Triangle,[0.08103209 0.00471115 0.01604418],"[[-9.99053495e-01  4.34984144e-02  4.05401821e-05]
 [ 4.04335200e-05 -3.33190431e-06  9.99999999e-01]
 [-4.34984145e-02 -9.99053496e-01 -1.56995663e-06]]",[0.01604418 0.00471115 0.08103209],"[[-9.99998261e-01 -1.86008302e-03 -1.32919966e-04]
 [-1.86253442e-03  9.99761613e-01  2.17542513e-02]
 [-9.24235658e-05 -2.17544611e-02  9.99763339e-01]]"
384,../normshapes\Car\m1529.obj,../shapes\Car\m1529.obj,4168,[2.84520405e-10 1.33398259e-09 5.95305306e-10],[ 1.0260637e-09 -3.1010718e-08  1.0493914e-08],[1. 1. 1.],0.3342325,1.0775693518605347,[-0.19640814  0.11402231 -0.51783127  0.43207756 -0.195372    0.20769353],[0. 0. 0.],7412,Car,Triangle,[0.08862372 0.00463861 0.02522486],"[[ 0.01508171  0.99984361  0.00923555]
 [ 0.99968852 -0.0148944  -0.02002531]
 [ 0.01988462 -0.00953469  0.99975682]]",[0.08862372 0.02522486 0.00463861],"[[ 0.00715337 -0.99997202  0.00219015]
 [-0.01284099  0.00209817  0.99991535]
 [ 0.99989196  0.00718089  0.01282562]]"
385,../normshapes\Car\m1530.obj,../shapes\Car\m1530.obj,1268,[5.02091571e-09 1.30482329e-09 1.59399705e-10],[-3.52609888e-08 -1.35849705e-08 -8.59343352e-09],[1. 1. 1.],0.3296973,1.0586669700495308,[-0.46244964  0.48810044 -0.18713541  0.18716459 -0.1404969   0.13722563],[0. 0. 0.],2286,Car,Triangle,[0.09846183 0.01629465 0.00494679],"[[-9.99999894e-01  4.60977807e-04 -7.28864429e-10]
 [ 4.60977807e-04  9.99999894e-01 -3.64432338e-06]
 [ 9.51087848e-10  3.64432333e-06  1.00000000e+00]]",[0.09846183 0.00494679 0.01629465],"[[ 9.99874982e-01  1.58103595e-02  2.30479403e-04]
 [ 1.58103592e-02 -9.99875008e-01  3.08443857e-06]
 [-2.30499362e-04 -5.59909206e-07  9.99999973e-01]]"
386,../normshapes\Car\m1531.obj,../shapes\Car\m1531.obj,2170,[ 9.91407902e-10  2.01855963e-09 -2.83423696e-10],[-4.5403908e-08 -8.7209562e-10  3.4125677e-08],[1. 1. 1.],0.33641374,1.058252865715484,[-0.46048883  0.4898364  -0.17647687  0.17620803 -0.11588822  0.18807626],[0. 0. 0.],4060,Car,Triangle,[0.09388814 0.02020719 0.00553706],"[[-1.00000000e+00  1.72731273e-05 -3.99176160e-08]
 [ 1.72731695e-05  9.99998652e-01 -1.64183850e-03]
 [-1.15578768e-08  1.64183850e-03  9.99998652e-01]]",[0.09388814 0.00553706 0.02020719],"[[-9.99778661e-01  2.10387107e-02  4.02067584e-05]
 [ 2.10387367e-02  9.99778325e-01  8.20591569e-04]
 [ 2.29336569e-05 -8.21255839e-04  9.99999663e-01]]"
387,../normshapes\Car\m1532.obj,../shapes\Car\m1532.obj,132,[-4.71305667e-09 -1.58042619e-09 -2.29302907e-10],[-4.0639532e-09  1.4675386e-09  2.3141955e-09],[1. 1. 1.],0.35456452,1.107435330048256,[-0.48038647  0.46938798 -0.21107483  0.21617267 -0.10597533  0.27058953],[0. 0. 0.],134,Car,Triangle,[0.09451594 0.00736137 0.02960603],"[[ 0.9994214  -0.03398241 -0.00143596]
 [-0.00134809  0.00260852 -0.99999569]
 [-0.03398601 -0.99941903 -0.0025612 ]]",[0.02960603 0.09451594 0.00736137],"[[-9.99997807e-01 -2.00066324e-03 -6.18659491e-04]
 [ 5.84571881e-04  1.69940872e-02 -9.99855419e-01]
 [-2.01088753e-03  9.99853588e-01  1.69928804e-02]]"
388,../normshapes\Car\m1533.obj,../shapes\Car\m1533.obj,7374,[ 1.96519925e-10  8.51881037e-11 -2.96651419e-10],[ 5.0810250e-08 -1.0152351e-08 -9.9869002e-09],[1. 1. 1.],0.3554939,1.0507726050145196,[-0.45564044  0.4945601  -0.178212    0.18185112 -0.14998749  0.11758775],[0. 0. 0.],14462,Car,Triangle,[0.1144555  0.01869688 0.00273818],"[[-9.99998763e-01 -1.57317536e-03  6.81034510e-06]
 [-1.57317526e-03  9.99998762e-01  1.45890387e-05]
 [ 6.83328779e-06 -1.45783068e-05  1.00000000e+00]]",[0.01869688 0.00273818 0.1144555 ],"[[ 9.99962087e-01 -8.66446849e-03  8.66978382e-04]
 [-8.67905242e-03 -9.99790534e-01  1.85354066e-02]
 [-7.06197333e-04  1.85422284e-02  9.99827829e-01]]"
389,../normshapes\Car\m1535.obj,../shapes\Car\m1535.obj,15178,[ 1.80564456e-09  1.33404561e-09 -2.39558556e-10],[3.9598760e-08 1.7072815e-09 1.0904414e-08],[1. 1. 1.],0.32693583,1.0475137192590316,[-0.5835731   0.36655688 -0.17788754  0.17132257 -0.15536046  0.11406539],[0. 0. 0.],29304,Car,Triangle,[0.10239091 0.01582811 0.0027578 ],"[[-9.99999621e-01  8.70719263e-04  7.60256550e-06]
 [ 8.70719244e-04  9.99999621e-01 -2.59877005e-06]
 [ 7.60482542e-06  2.59214937e-06  1.00000000e+00]]",[0.01582811 0.0027578  0.10239091],"[[ 9.99847395e-01  1.74627758e-02 -4.87416562e-04]
 [ 1.74653712e-02 -9.99829721e-01  5.95725397e-03]
 [ 3.83303375e-04  5.96485778e-03  9.99982137e-01]]"
390,../normshapes\Car\m1536.obj,../shapes\Car\m1536.obj,1503,[-3.32635676e-09 -1.52234527e-09 -1.75263925e-09],[-1.8500044e-08 -2.0909214e-08 -1.5342346e-08],[1. 1. 1.],0.35868302,1.199220920346256,[-0.4796064   0.55976963 -0.25185895  0.2637543  -0.12458929  0.17867838],[0. 0. 0.],3653,Car,Triangle,[0.11211426 0.02454353 0.0057021 ],"[[ 0.98847239  0.15138354 -0.00231424]
 [ 0.15101763 -0.98476532  0.08620292]
 [-0.01077072  0.0855587   0.99627491]]",[0.11211426 0.0057021  0.02454353],"[[ 5.09556053e-01  8.58868871e-01 -5.19315980e-02]
 [ 8.54624422e-01 -5.12194698e-01 -8.52859272e-02]
 [ 9.98485172e-02  9.24051414e-04  9.95002221e-01]]"
391,../normshapes\Car\m1538.obj,../shapes\Car\m1538.obj,1830,[-3.17680237e-09  1.88515651e-09 -4.33273336e-10],[-3.0755018e-08 -1.4722022e-08  3.7191832e-09],[1. 1. 1.],0.3134522,1.0590371598732922,[-0.47420415  0.47575733 -0.19625314  0.19625887 -0.09727842  0.15780431],[0. 0. 0.],3640,Car,Triangle,[0.07825794 0.02183832 0.00300142],"[[-1.00000000e+00 -3.24320552e-06 -2.67583223e-09]
 [-3.24320619e-06  9.99999953e-01  3.07454563e-04]
 [-1.67869377e-09 -3.07454563e-04  9.99999953e-01]]",[0.07825794 0.00300142 0.02183832],"[[-9.99777422e-01  2.10975624e-02 -1.28925466e-05]
 [ 2.10975642e-02  9.99777410e-01 -1.53608392e-04]
 [-9.64891421e-06  1.53846203e-04  9.99999988e-01]]"
392,../normshapes\Car\m1539.obj,../shapes\Car\m1539.obj,8254,[ 8.25527647e-10  1.55062786e-09 -1.10123677e-10],[-3.4604490e-08 -1.6601687e-07  6.0473910e-09],[1. 1. 1.],0.33423048,1.0848535044241714,[-0.54260343  0.4079574  -0.22546113  0.22550888 -0.15304431  0.11146909],[0. 0. 0.],16515,Car,Triangle,[0.09090516 0.02362385 0.00343654],"[[-9.99999991e-01 -1.36470400e-04  6.11472868e-09]
 [-1.36470399e-04  9.99999982e-01 -1.32518591e-04]
 [-1.19701364e-08  1.32518590e-04  9.99999991e-01]]",[0.02362385 0.09090516 0.00343654],"[[ 9.99999995e-01  8.91071330e-05 -4.47643536e-05]
 [-4.73624303e-05  2.93735423e-02 -9.99568503e-01]
 [ 8.77537960e-05 -9.99568500e-01 -2.93735464e-02]]"
393,../normshapes\Car\m1540.obj,../shapes\Car\m1540.obj,8492,[3.47858633e-09 7.85409294e-10 1.68549118e-10],[ 3.1939582e-08 -3.6973901e-08  7.3343296e-09],[1. 1. 1.],0.35382357,1.0588984564266684,[-0.54326385  0.40697417 -0.19802251  0.19804952 -0.15659894  0.09127331],[0. 0. 0.],16860,Car,Triangle,[0.10363004 0.02572943 0.00223244],"[[-9.99998897e-01 -1.48520394e-03  1.51429073e-07]
 [-1.48520394e-03  9.99998897e-01  1.78381721e-05]
 [ 1.77922229e-07 -1.78379275e-05  1.00000000e+00]]",[0.10363003 0.00223244 0.02572943],"[[ 9.99711261e-01  2.40176626e-02 -7.39939749e-04]
 [ 2.40174979e-02 -9.99711512e-01 -2.30611790e-04]
 [ 7.45265041e-04 -2.12773702e-04  9.99999700e-01]]"
394,../normshapes\Car\m1542.obj,../shapes\Car\m1542.obj,4384,[ 4.86798741e-10 -2.88855517e-09 -1.59350774e-10],[-6.7333943e-09 -2.2229378e-09  3.5595896e-08],[1. 1. 1.],0.28774372,1.10932931987463,[-0.4442589   0.5127913  -0.23498613  0.21740304 -0.17481226  0.15686601],[0. 0. 0.],7414,Car,Triangle,[0.06504914 0.02484051 0.00520276],"[[-9.99848957e-01 -1.73790437e-02 -1.79308263e-04]
 [-1.73789424e-02  9.99848823e-01 -5.51781813e-04]
 [-1.88870596e-04  5.48582282e-04  9.99999832e-01]]",[0.02484051 0.00520276 0.06504914],"[[ 0.99973805  0.02088619  0.00935975]
 [ 0.02143639 -0.99777367 -0.06315209]
 [-0.0080199  -0.06333618  0.99796002]]"
395,../normshapes\Car\m1543.obj,../shapes\Car\m1543.obj,386,[-5.83886174e-10 -2.11034197e-09 -1.65424363e-10],[-2.1618265e-08 -2.0074102e-09  8.0103391e-10],[1. 1. 1.],0.3415992,1.0793988381169535,[-0.53621936  0.41548008 -0.21620509  0.2161789  -0.13209611  0.13700262],[0. 0. 0.],548,Car,Triangle,[0.1009497  0.02200487 0.00459697],"[[-1.00000000e+00 -1.04938700e-07 -9.46183254e-10]
 [-1.04938705e-07  1.00000000e+00  5.71424431e-06]
 [-9.45583609e-10 -5.71424431e-06  1.00000000e+00]]",[0.1009497  0.00459697 0.02200487],"[[-9.99322711e-01  3.67983044e-02 -6.11796387e-05]
 [ 3.67983046e-02  9.99322713e-01 -1.73585756e-06]
 [-6.10743259e-05  3.98598886e-06  9.99999998e-01]]"
396,../normshapes\Car\m1544.obj,../shapes\Car\m1544.obj,60326,[-2.90970778e-10  3.34428571e-10 -5.74720641e-11],[-1.58991469e-08  1.09700366e-07  2.33260753e-08],[1. 1. 1.],0.28352922,1.078220856288604,[-0.07596827  0.15402746 -0.41968685  0.53047764 -0.22856383  0.2262434 ],[0. 0. 0.],116378,Car,Triangle,[0.00140374 0.01393191 0.07699774],"[[ 9.99913542e-01  1.31490864e-02  1.02822836e-04]
 [ 8.42716268e-05  1.41138268e-03 -9.99999000e-01]
 [ 1.31492184e-02 -9.99912551e-01 -1.41015256e-03]]",[0.07699774 0.01393191 0.00140374],"[[ 0.00725521  0.99995631 -0.00589456]
 [-0.00584438  0.00593702  0.9999653 ]
 [-0.9999566   0.0072205  -0.00588719]]"
397,../normshapes\Car\m1545.obj,../shapes\Car\m1545.obj,8278,[3.46626691e-10 1.32756617e-10 2.93651866e-10],[ 2.5186887e-08 -7.5918880e-09  4.1235606e-09],[1. 1. 1.],0.2835151,1.072531405619374,[-0.46179846  0.4889861  -0.21268848  0.21410786 -0.1356372   0.11769506],[0. 0. 0.],14914,Car,Triangle,[0.07792269 0.01582316 0.00343125],"[[-9.99976413e-01 -6.86827027e-03 -2.96924831e-05]
 [-6.86826822e-03  9.99976411e-01 -6.86338390e-05]
 [-3.01631785e-05  6.84282842e-05  9.99999997e-01]]",[0.07792269 0.00343125 0.01582316],"[[ 0.99979501 -0.01996846 -0.00334721]
 [-0.01993854 -0.99976294  0.00874799]
 [ 0.0035211   0.00867946  0.99995613]]"
398,../normshapes\Car\m1546.obj,../shapes\Car\m1546.obj,9068,[-3.51855938e-09 -1.43001292e-09 -2.63707684e-10],[-9.5531432e-09 -3.4762324e-09 -1.7551343e-08],[1. 1. 1.],0.3528675,1.1319552805646134,[-0.4873594   0.46981874 -0.2804978   0.26853988 -0.11964103  0.13272858],[0. 0. 0.],15012,Car,Triangle,[0.09464993 0.00323303 0.03469641],"[[ 0.99978078  0.01479069 -0.01481998]
 [ 0.01479845  0.00156429  0.99988927]
 [-0.01481224  0.99988939 -0.00134506]]",[0.09464993 0.00323303 0.03469641],"[[-9.99890309e-01  1.48111342e-02 -8.85762028e-06]
 [ 1.10390066e-06  6.72561449e-04  9.99999774e-01]
 [-1.48111368e-02 -9.99890083e-01  6.72504025e-04]]"
399,../normshapes\Car\m1547.obj,../shapes\Car\m1547.obj,249,[-2.95316217e-09  1.03593273e-09 -9.84621156e-10],[-2.3578544e-08 -6.5828420e-10  3.8898615e-10],[1. 1. 1.],0.360073,1.1245669882236666,[-0.49347043  0.4615583  -0.27009082  0.27732646 -0.11087303  0.11913843],[0. 0. 0.],440,Car,Triangle,[0.0992711  0.03650731 0.00411722],"[[-9.99821323e-01  1.89029672e-02  7.85345585e-06]
 [ 1.89029614e-02  9.99821213e-01 -4.70016275e-04]
 [ 1.67367540e-05  4.69783841e-04  9.99999890e-01]]",[0.0992711  0.00411722 0.03650731],"[[ 0.9987202   0.04969137  0.00941958]
 [ 0.04967907 -0.99876405  0.00153495]
 [-0.00948422  0.00106502  0.99995446]]"
400,../normshapes\Car\m1548.obj,../shapes\Car\m1548.obj,8278,[3.46626691e-10 1.32756617e-10 2.93651866e-10],[ 2.5186887e-08 -7.5918880e-09  4.1235606e-09],[1. 1. 1.],0.2835151,1.072531405619374,[-0.46179846  0.4889861  -0.21268848  0.21410786 -0.1356372   0.11769506],[0. 0. 0.],14914,Car,Triangle,[0.07792269 0.01582316 0.00343125],"[[-9.99976413e-01 -6.86827027e-03 -2.96924831e-05]
 [-6.86826822e-03  9.99976411e-01 -6.86338390e-05]
 [-3.01631785e-05  6.84282842e-05  9.99999997e-01]]",[0.07792269 0.00343125 0.01582316],"[[ 0.99979501 -0.01996846 -0.00334721]
 [-0.01993854 -0.99976294  0.00874799]
 [ 0.0035211   0.00867946  0.99995613]]"
401,../normshapes\Car\m1550.obj,../shapes\Car\m1550.obj,9369,[-2.01295126e-09  1.93592427e-09  2.36570642e-10],[1.6954464e-08 1.4012325e-09 9.3758503e-09],[1. 1. 1.],0.3296416,1.0723246172252663,[-0.5285543   0.4214341  -0.21460614  0.21467584 -0.11151396  0.13972113],[0. 0. 0.],17526,Car,Triangle,[0.08897723 0.02450192 0.00296059],"[[-9.99999971e-01  2.39237746e-04  6.74081768e-09]
 [ 2.39237737e-04  9.99999941e-01 -2.48113366e-04]
 [ 6.60988998e-08  2.48113357e-04  9.99999969e-01]]",[0.02450192 0.08897723 0.00296059],"[[ 9.99999963e-01 -2.71464343e-04  2.23570587e-05]
 [-3.22274569e-05 -3.64144500e-02  9.99336773e-01]
 [ 2.70470181e-04  9.99336737e-01  3.64144574e-02]]"
402,../normshapes\Car\m1551.obj,../shapes\Car\m1551.obj,18528,[ 1.82554800e-09  1.73163333e-09 -3.79119084e-10],[-4.0416825e-08  1.9025963e-08  3.6911096e-09],[1. 1. 1.],0.254313,1.0745851589292519,[-0.42775446  0.5263858  -0.20631456  0.22050183 -0.13500762  0.11434637],[0. 0. 0.],35465,Car,Triangle,[0.06180587 0.01888648 0.00264285],"[[-9.99948896e-01 -1.01091954e-02  9.68458804e-05]
 [-1.01092098e-02  9.99948890e-01 -1.48723374e-04]
 [ 9.53374569e-05  1.49694809e-04  9.99999984e-01]]",[0.06180587 0.00264285 0.01888648],"[[ 0.99955166 -0.02946214 -0.00533517]
 [-0.02955823 -0.99938379 -0.01893015]
 [ 0.00477416 -0.01907936  0.99980657]]"
403,../normshapes\Car\m1552.obj,../shapes\Car\m1552.obj,5247,[ 5.03734223e-10  6.24817140e-10 -1.30487356e-10],[-6.9777308e-09  1.4279214e-08 -1.1285564e-08],[1. 1. 1.],0.31095743,1.0712477696417588,[-0.50433224  0.44577727 -0.19687846  0.19693214 -0.18989226  0.10973579],[0. 0. 0.],10474,Car,Triangle,[0.0760355  0.02157115 0.00398142],"[[-9.99996618e-01  2.60092716e-03 -4.20253531e-06]
 [ 2.60092718e-03  9.99996618e-01 -4.58985962e-06]
 [-4.19058321e-06  4.60077458e-06  1.00000000e+00]]",[0.0760355  0.00398142 0.02157115],"[[ 0.99999291  0.00353143  0.00130617]
 [ 0.00353563 -0.99998855 -0.00322469]
 [-0.00129476 -0.00322929  0.99999395]]"
404,../normshapes\Car\m1553.obj,../shapes\Car\m1553.obj,1239,[3.55583507e-09 9.01519923e-10 9.57619377e-10],[-1.6981792e-08  9.0200736e-10  7.2220723e-09],[1. 1. 1.],0.33690503,1.0886029921465945,[-0.49605885  0.45352075 -0.22346297  0.22435814 -0.15216845  0.1356011 ],[0. 0. 0.],1915,Car,Triangle,[0.08556568 0.03020828 0.00471679],"[[-9.99998017e-01  1.99171042e-03 -1.06576498e-06]
 [ 1.99171046e-03  9.99998016e-01 -3.86426657e-05]
 [-9.88797870e-07  3.86447117e-05  9.99999999e-01]]",[0.08556568 0.00471679 0.03020828],"[[ 9.99246905e-01  3.87890474e-02  1.01586310e-03]
 [ 3.87900747e-02 -9.99246870e-01 -1.01185153e-03]
 [-9.75849264e-04 -1.05049492e-03  9.99998972e-01]]"
405,../normshapes\Car\m1555.obj,../shapes\Car\m1555.obj,16607,[-2.45849430e-09 -6.40767961e-10 -4.36158105e-10],[-3.6671466e-08  2.9765085e-08 -5.7673581e-08],[1. 1. 1.],0.27794063,1.0936676601492887,[-0.5592045   0.39625922 -0.17275308  0.15436287 -0.25164783  0.1681058 ],[0. 0. 0.],30255,Car,Triangle,[0.06868875 0.00865626 0.00757401],"[[ 9.99945174e-01 -1.04267935e-02  9.64582528e-04]
 [-1.04269267e-02 -9.99945629e-01  1.33077766e-04]
 [-9.63142508e-04  1.43128102e-04  9.99999526e-01]]",[0.06868875 0.00757401 0.00865626],"[[ 0.99963847 -0.0257789   0.00764106]
 [-0.02674278 -0.98270962  0.183212  ]
 [-0.00278594  0.1833501   0.98304373]]"
406,../normshapes\Car\m1556.obj,../shapes\Car\m1556.obj,35131,[-9.58665918e-10  7.23989082e-11 -1.02554774e-09],[ 5.6927348e-08  6.7865585e-10 -8.7116607e-09],[1. 1. 1.],0.28011957,1.0594614791568284,[-0.46552852  0.48391005 -0.17293845  0.17222588 -0.16206066  0.15713616],[0. 0. 0.],119540,Car,Triangle,[0.07788433 0.01046178 0.00362597],"[[ 9.99938084e-01  1.11266037e-02  1.63174404e-04]
 [ 1.11266437e-02 -9.99938067e-01 -2.46293729e-04]
 [-1.60423886e-04 -2.48094063e-04  9.99999956e-01]]",[0.07788434 0.00362597 0.01046178],"[[ 0.99899808 -0.04432029 -0.00620906]
 [-0.04448209 -0.99859095 -0.02893893]
 [ 0.00491773 -0.02918613  0.9995619 ]]"
407,../normshapes\Car\m1557.obj,../shapes\Car\m1557.obj,8489,[ 4.54663355e-09 -2.18237930e-09  8.73114003e-10],[ 1.6879440e-08 -2.2851359e-09  3.7195853e-09],[1. 1. 1.],0.355604,1.0900464168850916,[-0.44332996  0.50692177 -0.19602276  0.19352262 -0.21293919  0.15240626],[0. 0. 0.],16656,Car,Triangle,[0.10835952 0.02161327 0.00586377],"[[-9.99956740e-01 -9.30130135e-03 -5.67764237e-05]
 [-9.30129243e-03  9.99956730e-01 -1.55278180e-04]
 [-5.82182562e-05  1.54743368e-04  9.99999986e-01]]",[0.10835952 0.00586377 0.02161328],"[[ 0.99943388 -0.03334914 -0.00444472]
 [-0.03329164 -0.9993683   0.01243682]
 [ 0.00485667  0.01228181  0.99991278]]"
408,../normshapes\Car\m1558.obj,../shapes\Car\m1558.obj,6943,[ 1.80533454e-10  2.43111019e-09 -8.93638278e-10],[ 1.0041060e-08  8.0880058e-09 -5.1294506e-09],[1. 1. 1.],0.32949594,1.044331739783778,[-0.44018662  0.5099843  -0.16467594  0.15797423 -0.1318453   0.1574657 ],[0. 0. 0.],11791,Car,Triangle,[0.10675554 0.0035829  0.0113959 ],"[[ 9.99716255e-01 -2.38194780e-02 -2.03049443e-04]
 [-2.03069134e-04  1.59216225e-06 -9.99999979e-01]
 [-2.38194779e-02 -9.99716276e-01  3.24529029e-06]]",[0.0113959  0.0035829  0.10675554],"[[-9.99854665e-01  1.70484124e-02 -3.21036656e-05]
 [ 1.70475853e-02  9.99783728e-01 -1.19111752e-02]
 [ 1.70969904e-04  1.19099913e-02  9.99929059e-01]]"
409,../normshapes\Car\m1559.obj,../shapes\Car\m1559.obj,15606,[-1.54311622e-09 -1.21247894e-10  1.15010763e-09],[-4.2907200e-08 -5.6604552e-08 -1.0270210e-08],[1. 1. 1.],0.33628398,1.1787869143680194,[-0.24818195  0.27883583 -0.4965954   0.46288162 -0.22472714  0.21253093],[0. 0. 0.],30000,Car,Triangle,[0.09210693 0.01322015 0.01771394],"[[ 0.10258663 -0.99338132 -0.05166754]
 [-0.99281291 -0.09903308 -0.06719356]
 [-0.06163203 -0.05818936  0.99640127]]",[0.09210694 0.01771394 0.01322015],"[[ 0.00622433  0.99890671 -0.04633193]
 [ 0.05635211  0.04590881  0.99735491]
 [-0.99839156  0.00881877  0.05600475]]"
410,../normshapes\Car\m1560.obj,../shapes\Car\m1560.obj,21686,[ 8.52882075e-10 -1.47396387e-09  4.11419696e-10],[ 6.7200212e-08 -1.3053461e-08  7.7230972e-08],[1. 1. 1.],0.3499651,1.339365590148478,[-0.48483077  0.48558116 -0.33069015  0.31854284 -0.4251891   0.23108633],[0. 0. 0.],43584,Car,Triangle,[0.0829407  0.01799805 0.02982437],"[[ 9.96609252e-01  5.73430753e-02 -5.90065337e-02]
 [ 5.89115602e-02  3.34677933e-03  9.98257596e-01]
 [-5.74406423e-02  9.98348922e-01  4.27387896e-05]]",[0.0829407  0.01799805 0.02982437],"[[ 9.98346023e-01  5.74709767e-02 -1.51809415e-03]
 [ 3.03860036e-05 -2.69332325e-02 -9.99637234e-01]
 [ 5.74910154e-02 -9.97983811e-01  2.68904319e-02]]"
411,../normshapes\Car\m1561.obj,../shapes\Car\m1561.obj,332,[2.65616284e-09 1.43783442e-09 3.64323854e-10],[ 1.8567542e-08 -7.6301127e-10 -4.0394714e-09],[1. 1. 1.],0.33813444,1.1803158575735715,[-0.5628487   0.4067273  -0.24968843  0.24894372 -0.24128994  0.21085374],[0. 0. 0.],558,Car,Triangle,[0.07936502 0.03074745 0.01336303],"[[-9.99999934e-01  3.64520543e-04  7.28876091e-08]
 [ 3.64520543e-04  9.99999851e-01  4.06681331e-04]
 [-7.53561013e-08 -4.06681330e-04  9.99999917e-01]]",[0.03074745 0.07936502 0.01336303],"[[ 9.99999963e-01 -1.87220443e-04  1.98893115e-04]
 [ 1.77296266e-04 -1.09022819e-01 -9.94039231e-01]
 [-2.07788353e-04 -9.94039230e-01  1.09022781e-01]]"
412,../normshapes\Car\m1562.obj,../shapes\Car\m1562.obj,12016,[ 4.50989236e-09 -4.48944296e-09  1.53536781e-09],[-2.1745824e-07  9.1470511e-09 -4.1605688e-10],[1. 1. 1.],0.37348053,1.3111689873811623,[-0.4746247   0.47897595 -0.31748012  0.31746083 -0.3888012   0.24889772],[0. 0. 0.],21840,Car,Triangle,[0.08851344 0.03862412 0.01933955],"[[-9.99843353e-01  1.76992733e-02 -7.05384027e-05]
 [ 1.76992639e-02  9.99843347e-01  1.32021798e-04]
 [-7.28640426e-05 -1.30752640e-04  9.99999989e-01]]",[0.08851344 0.01933955 0.03862412],"[[ 0.99985064 -0.01488102  0.00878984]
 [-0.01480932 -0.99985698 -0.00816717]
 [-0.00891012 -0.00803578  0.99992802]]"
413,../normshapes\Car\m1563.obj,../shapes\Car\m1563.obj,616,[-2.33435399e-09  1.43629293e-10  4.82859005e-10],[-9.8212203e-09 -2.6367315e-09  1.3679556e-08],[1. 1. 1.],0.39890474,1.2612821509230547,[-0.44259176  0.50843686 -0.33758894  0.33628604 -0.18621814  0.29572564],[0. 0. 0.],1110,Car,Triangle,[0.10534442 0.0127625  0.04900581],"[[-9.99604347e-01  2.81273640e-02 -1.56174209e-05]
 [ 1.56957417e-05  2.56372414e-06 -1.00000000e+00]
 [ 2.81273639e-02  9.99604347e-01  3.00418964e-06]]",[0.04900581 0.0127625  0.10534443],"[[-9.99999361e-01  1.11442237e-03  1.90081296e-04]
 [ 1.11163863e-03  9.99900462e-01 -1.40651835e-02]
 [ 2.05736931e-04  1.40649632e-02  9.99901062e-01]]"
414,../normshapes\Cellphone\D00018.obj,../shapes\Cellphone\D00018.obj,14103,[1.19966885e-09 1.04667098e-09 3.21720772e-11],[2.2155533e-07 5.0526379e-09 1.6861673e-08],[1. 1. 1.],0.33835685,2.0482048759411424,[-1.2863492   0.56124365 -0.35533333  0.3712754  -0.35755533  0.14601555],[0. 0. 0.],26960,Cellphone,Triangle,[0.14308432 0.0008663  0.02438643],"[[ 0.99734014 -0.07277395  0.00407386]
 [-0.00390763  0.00242651  0.99998942]
 [ 0.07278306  0.99734551 -0.00213569]]",[0.14308432 0.02438643 0.0008663 ],"[[ 0.99737785 -0.0604195  -0.03983603]
 [-0.06441291 -0.99205602 -0.10805477]
 [ 0.03299096 -0.11033739  0.99334649]]"
415,../normshapes\Cellphone\D00032.obj,../shapes\Cellphone\D00032.obj,3500,[ 8.14760902e-09 -4.88892796e-09  5.16327938e-11],[ 3.6062514e-07 -8.6809910e-09  1.0816114e-08],[1. 1. 1.],0.6240673,1.8307374684857558,[-0.5796062   1.0510617  -0.40101555  0.38756514 -0.14362746  0.12219644],[0. 0. 0.],2481,Cellphone,Triangle,[0.34974468 0.00774511 0.06738436],"[[ 9.99075639e-01 -3.10888909e-02  2.96875212e-02]
 [-2.96599811e-02  1.34673636e-03  9.99559139e-01]
 [ 3.11151662e-02  9.99515716e-01 -4.23395577e-04]]",[0.34974467 0.00774511 0.06738436],"[[ 0.99892141 -0.04396472 -0.01493726]
 [-0.0128555   0.04725836 -0.99879997]
 [-0.04461787 -0.9979147  -0.0466422 ]]"
